Year/Month,January,February,March,April,May,June,July,August,September,October,November,December
2024,5.4,5.4,5.3,5.1,5,4.9,5,5,5,,,
2023,5.5,5.5,5.4,5.2,5.1,5,5,5,5,5,5,5.1
2022,5.9,5.9,5.8,5.6,5.4,5.2,5.2,5.2,5.1,5.1,5.1,5.2
2021,6.8,6.9,6.7,6.6,6.4,6.2,6.1,6,5.9,5.7,5.6,5.6
2020,5.5,5.5,5.4,5.8,6,6.1,6.1,6.1,6.1,6.1,6.1,6.6
2019,6.1,6.1,5.9,5.6,5.4,5.3,5.2,5.2,5.1,5,5.1,5.2
2018,6.8,6.8,6.6,6.3,6.1,5.8,5.8,5.8,5.7,5.7,5.7,5.8
2017,8.5,8.4,8,7.6,7.3,7,7,7,6.8,6.6,6.5,6.6
2016,10.2,10.2,9.9,9.4,9.1,8.7,8.5,8.4,8.3,8.2,8.2,8.2
2015,11.9,11.9,11.5,11.1,10.7,10.2,10,9.9,9.7,9.6,9.6,9.7
2014,13.9,13.9,13.5,13,12.5,12,11.8,11.7,11.5,11.3,11.4,11.4
2013,14.2,14.4,14.3,14,13.6,13.2,13.1,13,13,13,13.2,13.4
2012,13.2,13.4,13.3,12.9,12.6,12.3,12.3,12.4,12.4,12.5,12.9,13.4
2011,13.1,13.4,13.3,12.8,12.4,11.9,11.8,11.8,11.8,11.8,12.1,12.5
2010,12.9,13.2,13,12.4,12.1,11.7,11.5,11.4,11.5,11.5,11.7,12.4
2009,10.4,10.9,11.1,10.9,10.7,10.6,10.7,10.8,10.9,11.1,11.4,12.1
2008,11.5,11.3,10.9,10.3,9.8,9.4,9.2,9.1,8.9,8.8,9.1,9.5
2007,15.1,14.8,14.3,13.6,12.9,12.3,12.1,11.9,11.6,11.3,11.2,11.2
2006,18,18,17.8,17.2,16.5,15.9,15.7,15.5,15.2,14.9,14.8,14.8
2005,19.4,19.4,19.2,18.7,18.2,18,17.9,17.7,17.6,17.3,17.3,17.6
2004,20.6,20.6,20.4,19.9,19.5,19.4,19.3,19.1,18.9,18.7,18.7,19
2003,20.6,20.7,20.6,20.3,19.8,19.7,19.6,19.5,19.4,19.3,19.5,20
2002,19.1,19.2,19.2,18.9,18.3,18.4,18.5,18.5,18.6,18.5,18.8,19
2001,15.7,15.9,16.1,16,15.9,15.9,16,16.2,16.3,16.4,16.8,17.5
2000,13.7,14,14,13.8,13.6,13.6,13.8,13.9,14,14.1,14.5,15.1
1999,11.4,11.9,12,11.8,11.6,11.6,11.8,11.9,12.1,12.2,12.5,13.1
1998,10.7,10.6,10.4,10,9.7,9.6,9.6,9.5,9.6,9.7,9.9,10.4
1997,13.1,13,12.6,12.1,11.7,11.6,11.3,11,10.6,10.3,10.3,10.3
1996,15.4,15.5,15.4,15.1,14.7,14.3,14.1,13.8,13.5,13.2,13.3,13.2
1995,16.1,15.9,15.5,15.2,14.8,15.2,15.3,15.2,15,14.7,14.7,14.9
1994,16.7,16.8,16.7,16.4,16.2,16.6,16.9,16.8,16.5,16.2,16.1,16
1993,14.2,14.4,14.4,14.4,14.3,14.8,15.4,15.4,15.4,15.3,15.5,16.4
1992,12.1,12.4,12.1,12.2,12.3,12.6,13.1,13.4,13.6,13.5,13.5,14.3
1991,6.6,6.8,7.1,7.3,7.7,8.4,9.4,9.8,10.5,10.8,11.1,12.2
1990,0.3,0.8,1.5,1.9,2.4,3.1,3.8,4.5,5,5.5,5.9,6.5
,,,,,,,,,,,,
