Year,Unemployment
2024,5.122222222
2023,5.15
2022,5.391666667
2021,6.208333333
2020,5.95
2019,5.433333333
2018,6.075
2017,7.275
2016,8.941666667
2015,10.48333333
2014,12.325
2013,13.53333333
2012,12.8
2011,12.39166667
2010,12.10833333
2009,10.96666667
2008,9.816666667
2007,12.69166667
2006,16.19166667
2005,18.19166667
2004,19.50833333
2003,19.91666667
2002,18.75
2001,16.225
2000,14.00833333
1999,11.99166667
1998,9.975
1997,11.49166667
1996,14.29166667
1995,15.20833333
1994,16.49166667
1993,14.99166667
1992,12.925
1991,8.975
1990,3.433333333
